2018,City Hotel,24925,512,84,25491
2018,Resort Hotel,18037,1076,175,19288
2019,City Hotel,81506,3892,207,85596
2019,hotel,8,2,0,10
2019,Resort Hotel,40423,2476,318,43217
2020,City Hotel,51885,2922,113,54920
2020,Resort Hotel,27273,2402,153,29828
