2020,City Hotel,Aviation,BB,353,$11145.7
2020,City Hotel,Corporate,HB,7,$1078
2020,City Hotel,Offline TA/TO,SC,423,$10255.3
2020,City Hotel,Online TA,BB,35737,$1.39753e+006
2020,City Hotel,Corporate,SC,7,$1
2020,City Hotel,Complementary,HB,2,$0
2020,City Hotel,Complementary,SC,5,$0
2020,City Hotel,Groups,SC,7,$0
2020,City Hotel,Complementary,FB,5,$0
2020,Resort Hotel,Offline TA/TO,BB,7881,$94525.7
2020,Resort Hotel,Corporate,HB,43,$865.66
2020,Resort Hotel,Direct,Undefined,195,$8229.05
2020,Resort Hotel,Online TA,BB,25267,$655799
2020,Resort Hotel,Direct,HB,2042,$64862.4
2020,Resort Hotel,Offline TA/TO,HB,4522,$60445.7
2020,Resort Hotel,Offline TA/TO,FB,216,$5845.8
2020,Resort Hotel,Online TA,FB,155,$5739.78
2020,Resort Hotel,Complementary,SC,24,$57.14
2020,Resort Hotel,Offline TA/TO,Undefined,498,$5691.01
2020,Resort Hotel,Groups,HB,4309,$47759.2
2020,Resort Hotel,Corporate,BB,1903,$46362.8
2020,Resort Hotel,Direct,FB,115,$4579.83
2020,Resort Hotel,Offline TA/TO,SC,65,$4.56
2020,Resort Hotel,Groups,BB,2863,$33119.1
2020,Resort Hotel,Online TA,HB,7603,$247491
2020,Resort Hotel,Groups,Undefined,1199,$23505.3
2020,Resort Hotel,Direct,BB,6028,$200030
2020,Resort Hotel,Groups,SC,64,$2.26
2020,Resort Hotel,Direct,SC,57,$2
2020,Resort Hotel,Online TA,Undefined,51,$1908.49
2020,Resort Hotel,Corporate,Undefined,113,$1577
2020,Resort Hotel,Groups,FB,84,$1494
2020,Resort Hotel,Complementary,BB,95,$146.65
2020,Resort Hotel,Corporate,SC,29,$0
2020,Resort Hotel,Online TA,SC,53,$0
2020,Resort Hotel,Complementary,HB,27,$0
2020,Resort Hotel,Complementary,Undefined,6,$0
