City Hotel,Online TA,15265,24257
City Hotel,Groups,13012,4352
City Hotel,Offline TA/TO,8895,9574
Resort Hotel,Online TA,8743,11911
Resort Hotel,Groups,3275,3388
Resort Hotel,Offline TA/TO,1750,6549
Resort Hotel,Direct,1338,5828
City Hotel,Direct,1194,5037
City Hotel,Corporate,757,2345
Resort Hotel,Corporate,586,1970
City Hotel,Complementary,75,478
City Hotel,Aviation,52,185
Resort Hotel,Complementary,45,169
City Hotel,Undefined,10,0
hotel,Online TA,2,0
hotel,Groups,0,0
