City Hotel,Transient,127285,9330,4654
Resort Hotel,Transient,390,5354,6283
City Hotel,Transient-Party,139952,1068,3625
Resort Hotel,Transient-Party,20710,292,1553
Resort Hotel,Group,125,221,5
City Hotel,Group,88,122,25
Resort Hotel,Contract,161,16,39
City Hotel,Contract,0,1,1745
hotel,Transient,0,0,0
